Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ireland,"IRL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-20925416484.7042","-25222409925.4464","-26152981888.6632","-21251151864.3367","-6747671077.87377","-47433558092.5416","-9219282218.49415","-55346188075.9552","27441629240.5312","-97444443421.6992"
Isle of Man,"IMN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Israel,"ISR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","958700000","-1252100000","-6741700000","-7984000000","-1523400000","-367800000","2590400000","-9268600000","-15427900000","-8673400000"
Italy,"ITA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","20798672662.4819","17407273694.7308","6761814775.11481","742935955.515696","3443516886.53258","2120880782.65156","-11998104744.4285","676832040.581332","-5593749247.93954","1681603982.41342"
Jamaica,"JAM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-169451029.958887","-143677170.749787","-323447006.491632","-469978338.65706","-522668740.874112","-890764824.970039","-657890736.257975","-854503647.9886","-761949859.62409","-219424709.942522"
Japan,"JPN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","72215534552.4662","117685915139.306","117085390234.641","145036160640.494","118172189795.213","133162791214.283","137656207444.103","154947985695.973","134928938193.782","217947600722.758"
Jordan,"JOR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1659943661.97183","-1455211267.60563","-1543039436.61972","-1930929598.40829","-2095070422.53521","-1599295774.64789","-1549718309.85915","-2023098591.5493","-962535211.267606","-686338028.169014"
Kazakhstan,"KAZ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-3665239041.08145","-8582644894.50336","-11855850310.4671","-8034378287.30745","-4674570616.17393","-3261447511.679","-13746381890.7838","-3756129608.44294","-4722686549.17722","-5895489123.6018"
Kenya,"KEN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-176486327.303324","-1364471522.13485","-1141795457.23412","-920208344.622054","-745815917.42728","-377729138.894115","-521398505.41499","-1009548409.96783","-1461536440.06116","-1128481937.93831"
Kiribati,"KIR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","6662197.4497255","415900.004639173","2453360.91470512","-681180.149911504","-2485794.11960917","941845.936180186","-1686369.59247115","-660463.743843169","1265676.01675665","671045.879190715"
"Korea, Dem. People's Rep.","PRK","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Korea, Rep.","KOR","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","18724200000","19874700000","21102800000","15551200000","18724900000","19583000000","17785200000","16156500000","26037800000","25604700000"
Kosovo,"XKX","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-439950541.381513","-528270968.793878","-272880457.037389","-331559735.687283","-164374599.69141","-302274785.99072","-196726633.312126","-236712686.848546","-264006090.581936","-211142870.16969"
Kuwait,"KWT","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","4585217036.30391","7513857824.0973","3868720777.90999","15214373332.9334","12622103205.462","5154974475.20379","6110599561.98838","6925158962.32027","2993147632.14192","4163565127.17486"
Kyrgyz Republic,"KGZ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-455152400","-689582900","-277059600","-619062900","-230435500","-1009094000","-578968800","78143900","-139267900","-211653800"
