Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kyrgyz Republic,"KGZ","GDP (current US$)","NY.GDP.MKTP.CD","4794357795.07139","6197766118.59856","6605139933.41063","7335027591.91628","7468096566.71158","6678178340.45121","6813092065.83507","7702934800.12836","8271108638.39931","8871026074.19762"
Lao PDR,"LAO","GDP (current US$)","NY.GDP.MKTP.CD","7131773632.71369","8750107401.57872","10192848926.2582","11983252611.2727","13279248478.8161","14426381187.0894","15912495368.8717","17071162084.4067","18141651381.3884","18897252232.5826"
Latvia,"LVA","GDP (current US$)","NY.GDP.MKTP.CD","23956163076.5575","27474380566.265","28169902669.3784","30204783461.8488","31345148670.5896","27252128626.6281","28064533352.2849","30408509601.8003","34412210812.2783","34308783825.3019"
Lebanon,"LBN","GDP (current US$)","NY.GDP.MKTP.CD","38443907042.3002","39927125961.2072","44035991893.0218","46909335550.6109","48133414840.4075","50065946086.17","51389318290.8642","53324800958.6119","55276157552.246","51953744507.4091"
Lesotho,"LSO","GDP (current US$)","NY.GDP.MKTP.CD","2234731973.55119","2579421686.24912","2477702252.80078","2367113170.00373","2441053175.70743","2359759799.04224","2114323793.98266","2306843528.52853","2514146887.91664","2366213068.57507"
Liberia,"LBR","GDP (current US$)","NY.GDP.MKTP.CD","1998000000","2398000000","2791614000","3177198100","3225652000","3227075700","3398419600","3390703400","3422754800","3319596500"
Libya,"LBY","GDP (current US$)","NY.GDP.MKTP.CD","74773444900.5368","34699395523.6073","81873662518.8238","65502870173.7831","41142722414.3351","27842131479.8726","26197143268.1243","37883243650.452","52607888717.9487","52091152228.3425"
Liechtenstein,"LIE","GDP (current US$)","NY.GDP.MKTP.CD","5082366478.08994","5739977477.47748","5456009384.66461","6391735893.83968","6657170923.37918","6268391521.19701","6237264055.20601","6474256118.61481","6839145106.86164","6684443550.01006"
Lithuania,"LTU","GDP (current US$)","NY.GDP.MKTP.CD","37128694028.243","43535051482.3869","42927454291.478","46523420074.4372","48533659592.1728","41418872976.1196","43018087237.5741","47640770634.427","53724663842.5623","54697379017.3332"
Luxembourg,"LUX","GDP (current US$)","NY.GDP.MKTP.CD","56159192758.3285","61615545000.3597","59779802783.3455","65184744717.028","68713294386.2129","60047430684.2639","62174650367.2216","65549868206.9418","71250208995.6425","70195715495.5136"
"Macao SAR, China","MAC","GDP (current US$)","NY.GDP.MKTP.CD","28241858488.9155","36845925519.4433","43189526777.5567","51536304807.6803","54903031137.7096","45047964934.2517","45070605746.0194","50440941938.6992","55284360483.1217","55204758069.5124"
Madagascar,"MDG","GDP (current US$)","NY.GDP.MKTP.CD","9982711338.11125","11551819617.6416","11578974887.9668","12423555269.3948","12522957228.1618","11323020828.5844","11848613735.1908","13176313593.5418","13760033096.5122","14104664514.87"
Malawi,"MWI","GDP (current US$)","NY.GDP.MKTP.CD","6959655570.89098","8004000737.30717","6028487928.83351","5518880768.57955","6047813437.31804","6373212640.84604","5433040159.88747","8943543677.18899","9880675785.93057","11025357837.607"
Malaysia,"MYS","GDP (current US$)","NY.GDP.MKTP.CD","255016609232.871","297951960784.314","314443149443.149","323277158906.979","338061963396.376","301354803994.367","301255380276.258","319112136545.438","358791603677.728","365276282438.141"
Maldives,"MDV","GDP (current US$)","NY.GDP.MKTP.CD","2588176054.6875","2774351760.03287","2886170571.69634","3295011381.75405","3697351596.83753","4109424799.72407","4379136461.83077","4754175869.24027","5300962659.51088","5607762625.14627"
Mali,"MLI","GDP (current US$)","NY.GDP.MKTP.CD","10689167195.3375","12995113407.2335","12442036265.1484","13242691429.5942","14364937996.8661","13104764333.9941","14026048690.7312","15365714371.3316","17070866299.0945","17280251193.9527"
